chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.breaks,parameters.chromInfo,parameters.dbkey,parameters.density,parameters.frequency,parameters.input,parameters.input|__identifier__,parameters.numerical_column,parameters.numerical_column.__class__,parameters.numerical_column.value,parameters.title,parameters.xlab,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-09-10 20:36:33.205665,roundup_single,1410381428.0,0,1.0,main_w1_handler1,2046308,7694721,False,,4665549,tabular,1681569,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""True""",16718689,,"""2""",,,"""Histogram""","""V1""",32.0,,16878575,1410381425.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-10 20:37:09.663507,,3.0
,,2014-09-10 20:38:13.801262,roundup_single,1410381507.0,0,1.0,main_w2_handler0,2046308,7694728,False,,4665549,tabular,1681577,slurm,,132112264.0,corral-repl,,,"""349""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",16718689,,"""2""",,,"""Histogram""","""V1""",32.0,,16878575,1410381502.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-10 20:38:29.990474,,5.0
,,2014-09-10 20:35:28.850240,roundup_single,1410381340.0,0,1.0,main_w2_handler1,2046308,7694715,False,,4665549,tabular,1681564,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",16718689,,"""2""",,,"""Histogram""","""V1""",32.0,,16878575,1410381335.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-10 20:35:42.201633,,5.0
,,2014-09-11 00:22:42.869755,roundup_single,1410394991.0,0,1.0,main_w1_handler1,2046308,7695301,False,,9808893,tabular,1682184,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",16721181,,"""2""",,,"""Histogram""","""V1""",32.0,,16882226,1410394985.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 00:23:12.712418,52895.0,6.0
,,2014-09-11 07:29:37.282548,roundup_single,1410420587.0,0,1.0,main_w2_handler0,2043722,7696142,False,,1893,tabular,1683224,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16722423,,"""5""",,,"""Histogram""","""V1""",32.0,,16885292,1410420582.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 07:30:00.746837,52644.0,5.0
,,2014-09-11 07:56:23.068538,roundup_single,1410422191.0,0,1.0,main_w2_handler0,2043702,7696250,False,,567,tabular,1683334,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16722798,,"""1""",,,"""Histogram""","""V1""",32.0,,16885283,1410422187.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 07:56:33.290658,52641.0,4.0
,,2014-09-11 07:57:15.163057,roundup_single,1410422243.0,0,1.0,main_w2_handler0,2043702,7696254,False,,567,tabular,1683337,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16722798,,"""5""",,,"""Histogram""","""V1""",32.0,,16885283,1410422240.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 07:57:24.705768,52641.0,3.0
,,2014-09-11 08:19:50.390294,roundup_single,1410423599.0,0,1.0,main_w2_handler1,2043718,7696372,False,,36,tabular,1683466,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16722938,,"""5""",,,"""Histogram""","""V1""",32.0,,16885372,1410423595.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 08:19:59.831270,52643.0,4.0
,,2014-09-11 07:56:37.345192,roundup_single,1410422205.0,0,1.0,main_w2_handler1,2043718,7696252,False,,1893,tabular,1683336,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16722796,,"""5""",,,"""Histogram""","""V1""",32.0,,16885372,1410422202.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 07:56:46.751093,52643.0,3.0
,,2014-09-11 08:09:40.555022,roundup_single,1410422990.0,0,1.0,main_w1_handler1,2043722,7696319,False,,36,tabular,1683409,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16722872,,"""5""",,,"""Histogram""","""V1""",32.0,,16885292,1410422985.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 08:09:51.755181,52644.0,5.0
,,2014-09-11 08:25:33.883558,roundup_single,1410423944.0,0,1.0,main_w2_handler0,2043731,7696406,False,,567,tabular,1683497,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16722966,,"""5""",,,"""Histogram""","""V1""",32.0,,16885281,1410423941.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 08:25:47.164257,52642.0,3.0
,,2014-09-11 08:27:33.637215,roundup_single,1410424061.0,0,1.0,main_w1_handler1,2043702,7696410,False,,36,tabular,1683502,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16722993,,"""5""",,,"""Histogram""","""V1""",32.0,,16885283,1410424057.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 08:27:42.369885,52641.0,4.0
,,2014-09-11 08:33:47.083855,roundup_single,1410424470.0,0,1.0,main_w2_handler1,2043718,7696438,False,,567,tabular,1683530,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16723025,,,UnvalidatedValue,5,"""Histogram""","""V1""",32.0,,16885372,1410424468.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 08:34:31.539928,52643.0,2.0
,,2014-09-11 08:35:35.757243,roundup_single,1410424577.0,0,1.0,main_w1_handler1,2043731,7696449,False,,344,tabular,1683541,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16723041,,,UnvalidatedValue,5,"""Histogram""","""V1""",32.0,,16885281,1410424574.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 08:36:18.910850,52642.0,3.0
,,2014-09-11 08:45:17.177017,roundup_single,1410425167.0,0,1.0,main_w1_handler1,2043731,7696525,False,,371,tabular,1683601,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16723124,,,UnvalidatedValue,5,"""Histogram""","""V1""",32.0,,16885281,1410425164.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 08:46:09.277458,52642.0,3.0
,,2014-09-11 08:50:41.813008,roundup_single,1410425490.0,0,1.0,main_w1_handler1,2043702,7696548,False,,567,tabular,1683631,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16723143,,,UnvalidatedValue,5,"""Histogram""","""V1""",32.0,,16885283,1410425487.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 08:51:32.638905,52641.0,3.0
,,2014-09-11 08:58:09.909845,roundup_single,1410425936.0,0,1.0,main_w2_handler1,2043731,7696576,False,,1434,tabular,1683670,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16723284,,,UnvalidatedValue,5,"""Histogram""","""V1""",32.0,,16885281,1410425929.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 08:58:57.024616,52642.0,7.0
,,2014-09-11 09:02:02.355612,roundup_single,1410426172.0,0,1.0,main_w2_handler0,2043722,7696585,False,,36,tabular,1683683,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16723299,,,UnvalidatedValue,5,"""Histogram""","""V1""",32.0,,16885292,1410426169.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 09:02:55.268513,52644.0,3.0
,,2014-09-11 08:52:27.763819,roundup_single,1410425598.0,0,1.0,main_w2_handler0,2043718,7696556,False,,567,tabular,1683647,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16723150,,,UnvalidatedValue,5,"""Histogram""","""V1""",32.0,,16885372,1410425595.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 08:53:19.982871,52643.0,3.0
,,2014-09-11 08:55:38.731318,roundup_single,1410425785.0,0,1.0,main_w2_handler0,2043731,7696568,False,,371,tabular,1683658,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16723178,,,UnvalidatedValue,5,"""Histogram""","""V1""",32.0,,16885281,1410425783.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 08:56:27.517964,52642.0,2.0
,,2014-09-11 09:05:14.067643,roundup_single,1410426379.0,0,1.0,main_w2_handler0,2043722,7696603,False,,567,tabular,1683709,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16723319,,,UnvalidatedValue,5,"""Histogram""","""V1""",32.0,,16885292,1410426376.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 09:06:21.282889,52644.0,3.0
,,2014-09-11 10:31:11.216974,roundup_single,1410431526.0,0,1.0,main_w1_handler1,2043722,7697326,False,,344,tabular,1684005,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16725121,,,UnvalidatedValue,5,"""Histogram""","""V1""",32.0,,16885292,1410431523.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-11 10:32:08.274933,52644.0,3.0
,,2014-10-29 20:42:11.312854,rodeo_normal,1414615347.0,0,1.0,main_w2_handler0,2101574,8065493,False,,269056,tabular,95226.rodeo,slurm,,16332532.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""False""",17370578,,"""2""",,,"""Histogram""","""V1""",2.0,,18018150,1414615340.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-10-29 20:42:31.660497,,7.0
,,2014-10-29 21:18:03.786719,rodeo_normal,1414617503.0,0,1.0,main_w1_handler1,1991914,8066003,False,,1555961,tabular,95543.rodeo,slurm,,16332532.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""False""",17370227,,"""3""",,,"""Histogram""","""V1""",2.0,,17612433,1414617496.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-10-29 21:18:28.599975,51534.0,7.0
,,2014-09-12 13:44:31.302607,roundup_single,1410531194.0,0,1.0,main_w2_handler0,2040051,7724072,False,,20203316054,sam,1710156,slurm,,132112264.0,corral-repl,,,"""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""True""",16766189,,,UnvalidatedValue,9,"""Histogram""","""Insert size""",32.0,,16920020,1410529534.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-12 14:13:15.918765,52152.0,1660.0
,,2014-09-12 16:46:27.140416,roundup_single,1410540433.0,0,1.0,main_w1_handler0,1817293,7729324,False,,1947637,bed,1714173,slurm,,132112264.0,corral-repl,,,"""1000""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""True""",16772472,,"""9""",,,"""Histogram""","""V1""",32.0,,15872711,1410540429.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-12 16:47:16.855423,44400.0,4.0
,,2014-09-09 08:21:08.821066,roundup_single,1410250882.0,0,1.0,main_w2_handler1,1348827,7668972,False,,2831994,tabular,1656587,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",16682720,,"""2""",,,"""Histogram""","""V1""",32.0,,16847781,1410250876.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-09 08:21:25.631934,32251.0,6.0
,,2014-09-09 09:00:58.896925,roundup_single,1410253267.0,0,1.0,main_w1_handler0,2043691,7669034,False,,1434,tabular,1656664,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16682791,,"""1""",,,"""Histogram""","""V1""",32.0,,16848960,1410253264.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-09 09:01:09.319863,,3.0
,,2014-09-09 08:29:04.793895,roundup_single,1410251353.0,0,1.0,main_w1_handler1,1348827,7668985,False,,4851907,tabular,1656604,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",16682737,,"""2""",,,"""Histogram""","""V1""",32.0,,16847781,1410251348.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-09 08:29:14.061432,32251.0,5.0
,,2014-09-09 09:56:01.244853,roundup_single,1410256570.0,0,1.0,main_w1_handler1,2043722,7669198,False,,1496,tabular,1656826,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16683011,,"""1""",,,"""Histogram""","""V1""",32.0,,16849271,1410256567.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-09 09:56:12.330216,,3.0
,,2014-09-09 10:02:52.857672,roundup_single,1410256985.0,0,1.0,main_w2_handler0,2043723,7669239,False,,1434,tabular,1656870,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""True""",16683023,,"""5""",,,"""Histogram""","""ratio of conservation""",32.0,,16849276,1410256980.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-09 10:03:07.372687,,5.0
,,2014-09-09 09:56:40.129281,roundup_single,1410256611.0,0,1.0,main_w2_handler1,2043702,7669200,False,,1893,tabular,1656828,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""False""",16683021,,"""1""",,,"""Histogram""","""V1""",32.0,,16849055,1410256608.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-09 09:56:53.314847,,3.0
,,2014-09-09 09:59:34.634246,roundup_single,1410256785.0,0,1.0,main_w2_handler1,2043723,7669225,False,,1434,tabular,1656856,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""","""True""","""True""",16683023,,"""5""",,,"""Distribution of TFBS count difference""","""V1""",32.0,,16849276,1410256782.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-09 09:59:47.945333,,3.0
,,2014-09-09 12:10:25.285687,roundup_single,1410264997.0,0,1.0,main_w2_handler1,2042306,7669558,False,,780238064,tabular,1657202,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",16683443,,"""2""",,,"""Histogram""","""""",32.0,,16577676,1410264632.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-09 12:16:39.006933,2284.0,365.0
,,2014-09-09 12:10:48.009046,roundup_single,1410265064.0,0,1.0,main_w2_handler0,2042306,7669559,False,,838600244,tabular,1657204,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",16683444,,"""2""",,,"""Histogram""","""""",32.0,,16577676,1410264656.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-09 12:17:46.811752,2284.0,408.0
,,2014-09-09 15:41:33.919860,roundup_single,1410277331.0,0,1.0,main_w1_handler0,2034513,7670979,False,,21509307,tabular,1658527,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",16590684,,"""20""",,,"""Histogram""","""V1""",32.0,,16600673,1410277325.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-09 15:42:12.727933,39110.0,6.0
,,2014-10-30 01:28:43.621063,rodeo_normal,1414632542.0,0,1.0,main_w2_handler0,2028827,8069263,False,,344,tabular,97211.rodeo,slurm,,16332532.0,corral-repl,,,"""2""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",17375253,,"""1""",,,"""Histogram""","""V1""",2.0,,16476397,1414632535.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-10-30 01:29:06.258324,,7.0
,,2014-09-13 13:08:05.871857,roundup_single,1410613855.0,0,1.0,main_w2_handler0,2028731,7754303,False,,2380374854,sam,1739190,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""False""",16793988,,"""9""",,,"""Histogram""","""V1""",32.0,,16472295,1410613696.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-13 13:10:58.670712,,159.0
,,2014-09-13 13:19:24.469586,roundup_single,1410614419.0,0,1.0,main_w1_handler1,2028731,7754373,False,,850135902,sam,1739426,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""True""",16811648,,"""9""",,,"""Histogram""","""V1""",32.0,,16472295,1410614369.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-13 13:20:19.843671,,50.0
,,2014-10-02 08:39:09.864589,roundup_single,1412239176.0,0,1.0,main_w1_handler1,2070706,7916657,False,,18283966,tabular,1895393,slurm,,8059880.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""",17121439,,"""2""",,,"""Histogram""","""length""",1.0,,17300956,1412239161.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-10-02 08:39:39.040890,53665.0,15.0
,,2014-09-15 05:24:16.207686,roundup_single,1410758668.0,0,1.0,main_w1_handler1,1852948,7785497,False,,271522,interval,1770959,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""True""","""True""",16871299,,"""5""",,,"""Histogram""","""V1""",32.0,,16993258,1410758661.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-15 05:24:29.513454,46925.0,7.0
,,2014-09-15 16:27:04.896482,roundup_single,1410798432.0,0,1.0,main_w1_handler1,2039808,7795125,False,,94532,tabular,1780617,slurm,,132112264.0,corral-repl,,,"""10""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""True""",16885085,,"""3""",,,"""Histogram""","""no. of nts""",32.0,,16999209,1410798428.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-15 16:27:14.200387,40645.0,4.0
