bamFile1,bamFile1_filetype,bamFile2,bamFile2_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName2,blackListFileName2_filetype,blackListFileName_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.ignoreForNormalization,parameters.advancedOpt.maxFragmentLength,parameters.advancedOpt.minFragmentLength,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.advancedOpt.smoothLength,parameters.bamFile1.values,parameters.bamFile1|__identifier__,parameters.bamFile2.values,parameters.bamFile2|__identifier__,parameters.binSize,parameters.chromInfo,parameters.comparison.__current_case__,parameters.comparison.normalization.__current_case__,parameters.comparison.normalization.effectiveGenomeSize.__current_case__,parameters.comparison.normalization.effectiveGenomeSize.effectiveGenomeSize,parameters.comparison.normalization.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.comparison.normalization.type,parameters.comparison.pseudocount,parameters.comparison.type,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.method,parameters.scaling.numberOfSamples,parameters.scaling.sampleLength,parameters.scaling.scaleFactor1,parameters.scaling.scaleFactor2,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
6177143145,bam,9815783252,bam,,,,,,,,,2017-04-06 07:29:25.363167,slurm_multi,1491466016.0,0,,6.0,main_w3_handler2,2776306,15503299,False,,9630874,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26479750}]",,"[{'src': 'hda', 'id': 26583685}]",,"""20""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,0.1,log2,"""mm10""","""bigwig""","""chr5""",1,readCount,,,,,32.0,,35957006.0,1491465532.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 08:07:00.459508,57381,484.0
309729829,bam,1921421476,bam,,,,,,,,,2017-04-06 07:42:54.518229,slurm_multi,1491466539.0,0,,6.0,main_w4_handler2,3060430,15503487,False,,9630915,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29082977}]",,"[{'src': 'hda', 'id': 29083548}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""",0,,,,,,1.0,log2,"""?""","""bigwig""","""""",1,readCount,,,,,32.0,,37126459.0,1491465835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 08:15:41.482015,103642,704.0
8549204181,bam,9815783252,bam,,,,,,,,,2017-04-06 07:29:43.067330,slurm_multi,1491467043.0,0,,6.0,main_w3_handler2,2776306,15503306,False,,9630996,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26478998}]",,"[{'src': 'hda', 'id': 26583685}]",,"""20""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,0.1,log2,"""mm10""","""bigwig""","""chr5""",1,readCount,,,,,32.0,,35957006.0,1491466629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 08:24:05.610676,57381,414.0
7608360421,bam,7477075593,bam,,,,,,,,,2017-04-06 07:53:12.149117,slurm_multi,1491468177.0,0,,6.0,main_w3_handler2,2776306,15503587,False,,9631137,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26478870}]",,"[{'src': 'hda', 'id': 26583683}]",,"""15""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,0.1,log2,"""mm10""","""bigwig""","""chr5""",1,readCount,,,,,32.0,,35957006.0,1491467725.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 08:47:26.073532,57381,452.0
1921421476,bam,309729829,bam,,,,,,,,,2017-04-06 08:36:29.753265,slurm_multi,1491469463.0,0,,6.0,main_w3_handler2,3060430,15503924,False,,9631264,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29083548}]",,"[{'src': 'hda', 'id': 29082977}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""",7,0.0,,,,rpkm,,subtract,"""?""","""bedgraph""","""""",1,readCount,,,,,32.0,,37126459.0,1491469003.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 09:04:40.249981,103642,460.0
7273028330,bam,7477075593,bam,,,,,,,,,2017-04-06 07:08:53.311260,slurm_multi,1491470113.0,0,,6.0,main_w4_handler2,2776306,15503126,False,,9631303,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26478860}]",,"[{'src': 'hda', 'id': 26583683}]",,"""20""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,0.1,log2,"""mm10""","""bigwig""","""chr5""",1,readCount,,,,,32.0,,35957006.0,1491469292.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 09:15:15.018573,57381,821.0
7273028330,bam,7477075593,bam,,,,,,,,,2017-04-06 08:47:11.541376,slurm_multi,1491470916.0,0,,6.0,main_w4_handler2,2776306,15503989,False,,9631446,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26478860}]",,"[{'src': 'hda', 'id': 26583683}]",,"""15""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,0.1,log2,"""mm10""","""bigwig""","""chr5""",1,readCount,,,,,32.0,,35957006.0,1491470499.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 09:28:38.301324,57381,417.0
7273028330,bam,7477075593,bam,,,,,,,,,2017-04-06 09:40:04.771213,slurm_multi,1491473711.0,0,,6.0,main_w4_handler2,2776306,15504384,False,,9631901,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26478860}]",,"[{'src': 'hda', 'id': 26583683}]",,"""15""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,0.1,log2,"""mm10""","""bigwig""","""chr5""",1,readCount,,,,,32.0,,35957006.0,1491472829.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 10:15:12.695780,57381,882.0
7273028330,bam,7477075593,bam,,,,,,,,,2017-04-06 09:40:27.040320,slurm_multi,1491474644.0,0,,6.0,main_w4_handler2,2776306,15504391,False,,9632204,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26478860}]",,"[{'src': 'hda', 'id': 26583683}]",,"""15""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,0.1,log2,"""mm10""","""bigwig""","""chr5""",1,readCount,,,,,32.0,,35957006.0,1491473852.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 10:30:46.314365,57381,792.0
28785875,bam,435202803,bam,,,,,,,,,2017-06-05 08:44:36.549660,slurm_multi,1496652581.0,0,,6.0,main_w4_handler2,3135759,16013682,False,,10106433,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29864944}]",,"[{'src': 'hda', 'id': 29865011}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""",0,,,,,,1.0,log2,"""?""","""bigwig""","""""",1,readCount,,,,,32.0,,38364165.0,1496652505.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-06-05 08:49:44.330979,107001,76.0
7273028330,bam,7477075593,bam,,,,,,,,,2017-04-06 10:26:52.986260,slurm_multi,1491479717.0,0,,6.0,main_w4_handler2,2776306,15505438,False,,9632662,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26478860}]",,"[{'src': 'hda', 'id': 26583683}]",,"""15""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,0.1,log2,"""mm10""","""bigwig""","""""",1,readCount,,,,,32.0,,35957006.0,1491475937.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 11:55:19.191136,57381,3780.0
7273028330,bam,7477075593,bam,,,,,,,,,2017-04-06 13:14:09.433966,slurm_multi,1491486159.0,0,,6.0,main_w4_handler2,2776306,15507714,False,,9634986,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26478860}]",,"[{'src': 'hda', 'id': 26583683}]",,"""15""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,0.1,log2,"""mm10""","""bigwig""","""chr5""",1,readCount,,,,,32.0,,35957006.0,1491485571.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 13:42:41.494594,57381,588.0
7273028330,bam,7477075593,bam,,,,,,,,,2017-04-06 13:44:35.458114,slurm_multi,1491488439.0,0,,6.0,main_w3_handler2,2776306,15508073,False,,9635392,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26478860}]",,"[{'src': 'hda', 'id': 26583683}]",,"""15""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,0.1,log2,"""mm10""","""bigwig""","""chr5""",1,readCount,,,,,32.0,,35957006.0,1491487970.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 14:20:41.112841,57381,469.0
4330483621,bam,4167895080,bam,,,,,,,,,2017-04-06 13:45:32.114111,slurm_multi,1491488479.0,0,,6.0,main_w3_handler2,478953,15508083,False,,9635393,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 25223231}]",,"[{'src': 'hda', 'id': 25223232}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""",0,,,,,,1.0,log2,"""?""","""bigwig""","""""",1,readCount,,,,,32.0,,37156932.0,1491487970.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 14:21:20.080749,8314,509.0
371207902,bam,625847189,bam,,,,,,,,,2017-04-06 14:31:42.905550,slurm_multi,1491491157.0,0,,6.0,main_w3_handler2,3018046,15508675,False,,9635887,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29100231}]",,"[{'src': 'hda', 'id': 29095954}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""",0,,,,,,1.0,log2,"""?""","""bigwig""","""""",1,readCount,,,,,32.0,,36924278.0,1491490987.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 15:05:59.009054,84324,170.0
1092369104,bam,1583664912,bam,9566.0,9566.0,bed,,,bed,,,2017-04-06 14:40:43.461310,slurm_multi,1491491461.0,0,,6.0,main_w4_handler2,2879699,15508888,False,,9635833,slurm,,132112168.0,corral-repl,,0,no,,,1.0,"[{'src': 'hda', 'id': 29102096}]",false,0.0,no,,false,,0,0,1,,,yes,false,,"[{'src': 'hda', 'id': 27092244}]",,"[{'src': 'hda', 'id': 27092252}]",,"""5""","""/galaxy-repl/localdata/chrom/?.len""",0,,,,,,1.0,log2,"""?""","""bigwig""","""""",1,readCount,,,,,32.0,,37158428.0,1491490823.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 15:11:03.625590,71567,638.0
1092369104,bam,1583664912,bam,9566.0,9566.0,bed,,,bed,,,2017-04-06 15:14:43.002789,slurm_multi,1491493641.0,0,,6.0,main_w3_handler2,2879699,15509204,False,,9636097,slurm,,132111800.0,corral-repl,,0,no,,,1.0,"[{'src': 'hda', 'id': 29102096}]",false,0.0,no,,false,,0,0,1,,,yes,false,,"[{'src': 'hda', 'id': 27092244}]",,"[{'src': 'hda', 'id': 27092252}]",,"""5""","""/galaxy-repl/localdata/chrom/?.len""",0,,,,,,1.0,log2,"""?""","""bedgraph""","""""",1,readCount,,,,,32.0,,37158428.0,1491493101.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 15:47:23.409592,71567,540.0
2439237831,bam,2945798246,bam,,,,,,,,,2017-04-06 21:00:15.403329,slurm_multi,1491514911.0,0,,6.0,main_w4_handler2,3049750,15512519,False,,9639259,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 28970615}]",,"[{'src': 'hda', 'id': 28970618}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""",0,,,,,,1.0,log2,"""mm9""","""bigwig""","""""",1,readCount,,,,,32.0,,37164212.0,1491513907.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 21:41:52.794563,95216,1004.0
206083963,bam,165222092,bam,,,,,,,,,2017-04-06 21:12:16.173644,reserved_multi,1491515947.0,0,,4.0,main_w4_handler2,3058234,15512592,False,,9639601.roundup,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29071433}]",,"[{'src': 'hda', 'id': 29071426}]",,"""50""","""/galaxy-repl/localdata/chrom/sacCer3.len""",0,,,,,,1.0,log2,"""sacCer3""","""bigwig""","""""",0,SES,100000,1000,,,32.0,,35746799.0,1491514946.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 22:00:30.415883,621,1001.0
51109601,bam,24971776,bam,,,,,,,,,2017-04-06 21:12:32.240669,reserved_multi,1491515618.0,0,,4.0,main_w3_handler2,3058234,15512593,False,,9639626.roundup,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29071435}]",,"[{'src': 'hda', 'id': 29071432}]",,"""50""","""/galaxy-repl/localdata/chrom/sacCer3.len""",0,,,,,,1.0,log2,"""sacCer3""","""bigwig""","""""",0,SES,100000,1000,,,32.0,,35746799.0,1491515119.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 21:54:25.304217,621,499.0
964353537,bam,971007615,bam,,,,,,,,,2017-04-07 11:17:21.441862,slurm_multi,1491565842.0,0,,6.0,main_w3_handler2,3001745,15517891,False,,9644743,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 28437305}]",,"[{'src': 'hda', 'id': 28437304}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""",1,,,,,,1.0,ratio,"""mm9""","""bigwig""","""""",1,readCount,,,,,32.0,,37039578.0,1491565430.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-07 11:50:43.586135,46988,412.0
944200091,bam,971007615,bam,,,,,,,,,2017-04-07 11:17:22.059493,slurm_multi,1491567249.0,0,,6.0,main_w3_handler2,3001745,15517892,False,,9645333,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 28437306}]",,"[{'src': 'hda', 'id': 28437304}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""",1,,,,,,1.0,ratio,"""mm9""","""bigwig""","""""",1,readCount,,,,,32.0,,37039578.0,1491566846.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-07 12:14:11.553199,46988,403.0
1222747677,bam,872095190,bam,,,,,,,,,2017-04-07 16:09:48.342831,slurm_multi,1491583663.0,0,,6.0,main_w3_handler2,2169204,15522316,False,,9649288,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29089819}]",,"[{'src': 'hda', 'id': 29089804}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""",1,,,,,,1.0,ratio,"""mm9""","""bigwig""","""""",1,readCount,,,,,32.0,,37191961.0,1491583177.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-07 16:47:45.118676,46988,486.0
