bamInput,bamInput_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.MNase,parameters.advancedOpt.__current_case__,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.filterRNAstrand,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.ignoreForNormalization,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.advancedOpt.smoothLength,parameters.bamInput.values,parameters.bamInput|__identifier__,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.scaleFactor,parameters.scaling.type,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
1078666195,bam,,,2016-06-17 14:17:03.396850,slurm_multi,1466178093.0,0,,6.0,main_w2_handler2,2738610,13193229,False,,7378434,slurm,,132112168.0,corral-repl,,0,no,,"""28d1a972349611e6a37f005056a51846""",,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fad898d3297e2981'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30907016.0,1466177808.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:41:35.366412,86099,285.0
1140445128,bam,,,2016-06-17 14:15:09.265031,slurm_multi,1466173850.0,0,,6.0,main_w1_handler2,2738610,13193179,False,,7377986,slurm,,132112168.0,corral-repl,,0,no,,"""e51a1930349511e68967005056a51846""",,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b2497b8528eb7d83'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30907016.0,1466173523.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 14:30:53.590840,86099,327.0
673008900,bam,,,2016-06-17 14:16:13.601699,slurm_multi,1466177261.0,0,,6.0,main_w1_handler2,2738610,13193205,False,,7378332,slurm,,132112168.0,corral-repl,,0,no,,"""0b0ad076349611e69c0f005056a51846""",,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5044eb4409fc30110'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30907016.0,1466176992.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:29:41.914105,86099,269.0
573093638,bam,,,2016-06-17 14:16:00.700799,slurm_multi,1466174623.0,0,,6.0,main_w2_handler2,2738610,13193199,False,,7378058,slurm,,132112168.0,corral-repl,,0,no,,"""024ffb78349611e6b9a3005056a51846""",,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d8c0e3a81da11c5f'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30907016.0,1466174354.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 14:47:31.369400,86099,269.0
800912968,bam,,,2016-06-17 14:16:24.612548,slurm_multi,1466175325.0,0,,6.0,main_w2_handler2,2738610,13193210,False,,7378114,slurm,,132112168.0,corral-repl,,0,no,,"""120b978e349611e69a45005056a51846""",,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b592a8acfdaa09e43f'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30907016.0,1466175043.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 14:56:23.246212,86099,282.0
833939984,bam,,,2016-06-17 14:15:37.165859,slurm_multi,1466175852.0,0,,6.0,main_w1_handler2,2738610,13193189,False,,7378163,slurm,,132112168.0,corral-repl,,0,no,,"""f5f680a4349511e69736005056a51846""",,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b98d827f436c8f00'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30907016.0,1466175596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:04:14.598790,86099,256.0
727265368,bam,,,2016-06-17 14:15:25.730595,slurm_multi,1466175588.0,0,,6.0,main_w1_handler2,2738610,13193184,False,,7378144,slurm,,132112168.0,corral-repl,,0,no,,"""ee909782349511e686f0005056a51846""",,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52f9e5f87149f204e'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30907016.0,1466175388.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 14:59:50.271851,86099,200.0
202502537,bam,,,2016-06-17 15:00:33.254126,slurm_multi,1466176545.0,0,,6.0,main_w2_handler2,2185573,13193398,False,,7378251,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b556bb93652d111f82'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",2,0.0,135000000,specific,1.0,1x,32.0,,30772075.0,1466176396.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:15:45.988506,28313,149.0
1701759805,bam,,,2016-06-17 14:59:41.871285,slurm_multi,1466175919.0,0,,6.0,main_w2_handler2,2185573,13193393,False,,7378165,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a3d3adac8ce853bf'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",2,0.0,135000000,specific,1.0,1x,32.0,,30772075.0,1466175600.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:05:22.802221,28313,319.0
490994223,bam,,,2016-06-17 14:59:57.495823,slurm_multi,1466176063.0,0,,6.0,main_w2_handler2,2185573,13193395,False,,7378205,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ada9aa0f0a44930f'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",2,0.0,150000000,specific,1.0,1x,32.0,,30772075.0,1466175928.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:07:46.007690,28313,135.0
202502537,bam,,,2016-06-17 15:02:16.253894,slurm_multi,1466176176.0,0,,6.0,main_w2_handler2,2185573,13193410,False,,7378213,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b556bb93652d111f82'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bedgraph""","""""",2,0.0,135000000,specific,1.0,1x,32.0,,30772075.0,1466176069.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:09:42.530532,28313,107.0
336833405,bam,,,2016-06-17 15:00:20.640668,slurm_multi,1466176386.0,0,,6.0,main_w1_handler2,2185573,13193397,False,,7378227,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c909c3563f3be1b3'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",2,0.0,135000000,specific,1.0,1x,32.0,,30772075.0,1466176185.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:13:09.599934,28313,201.0
584590995,bam,,,2016-06-17 14:15:48.167854,slurm_multi,1466176399.0,0,,6.0,main_w1_handler2,2738610,13193194,False,,7378225,slurm,,132112168.0,corral-repl,,0,no,,"""fc0c3bb4349511e69a45005056a51846""",,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cb7e3dc15d2655de'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30907016.0,1466176166.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:13:22.186865,86099,233.0
396473667,bam,,,2016-06-17 11:19:36.912372,slurm_multi,1466162595.0,0,,6.0,main_w2_handler2,2741183,13192378,False,,7377139,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5091ff221e3339020'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,30923680.0,1466162474.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 11:23:16.141756,80593,121.0
731677912,bam,,,2016-06-17 14:17:20.470295,slurm_multi,1466178309.0,0,,6.0,main_w2_handler2,2738610,13193236,False,,7378467,slurm,,132112168.0,corral-repl,,0,no,,"""31c187e6349611e6b4f4005056a51846""",,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b585d33abb8ff9fbc4'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30907016.0,1466178168.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:45:10.581456,86099,141.0
355195940,bam,,,2016-06-17 11:18:53.696259,slurm_multi,1466162462.0,0,,6.0,main_w1_handler2,2741183,13192376,False,,7377132,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f481149e063510ce'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,30923680.0,1466162346.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 11:21:03.851765,80593,116.0
396662386,bam,,,2016-06-17 11:19:15.161325,slurm_multi,1466162594.0,0,,6.0,main_w1_handler2,2741183,13192377,False,,7377138,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f96af792791676b5'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,30923680.0,1466162471.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 11:23:15.899580,80593,123.0
8825859698,bam,,,2016-06-17 10:40:01.269780,slurm_multi,1466163074.0,0,,6.0,main_w1_handler2,2185573,13192225,False,,7377059,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f434825d46b18932'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",2,0.0,135000000,specific,1.0,1x,32.0,,30772075.0,1466161234.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 11:31:15.646408,28313,1840.0
7314968311,bam,,,2016-06-17 11:25:54.384576,slurm_multi,1466163997.0,0,,6.0,main_w1_handler2,2185573,13192386,False,,7377155,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5720d9c0bb69814f5'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bedgraph""","""""",2,0.0,135000000,specific,1.0,1x,32.0,,30772075.0,1466163082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 11:46:39.198754,28313,915.0
8825859698,bam,,,2016-06-17 11:26:12.845502,slurm_multi,1466165421.0,0,,6.0,main_w1_handler2,2185573,13192388,False,,7377223,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f434825d46b18932'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bedgraph""","""""",2,0.0,135000000,specific,1.0,1x,32.0,,30772075.0,1466164004.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 12:10:24.898983,28313,1417.0
1701759805,bam,,,2016-06-17 15:00:57.996075,slurm_multi,1466176718.0,0,,6.0,main_w2_handler2,2185573,13193399,False,,7378264,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a3d3adac8ce853bf'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bedgraph""","""""",2,0.0,135000000,specific,1.0,1x,32.0,,30772075.0,1466176547.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:18:40.830635,28313,171.0
1465821720,bam,,,2016-06-17 13:19:08.300306,slurm_multi,1466169730.0,0,,6.0,main_w1_handler2,605821,13192800,False,,7377540,slurm,,132112168.0,corral-repl,,0,no,,,false,1,false,0.0,no,,no,false,,1,,,yes,false,5000,"[{'src': 'hda', 'id': 'bbd44e69cb8906b537dd0e3775db5967'}]",,"""500""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bedgraph""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30186712.0,1466169558.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 13:22:11.636001,12956,172.0
490994223,bam,,,2016-06-17 15:01:14.345845,slurm_multi,1466176815.0,0,,6.0,main_w2_handler2,2185573,13193401,False,,7378307,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ada9aa0f0a44930f'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bedgraph""","""""",2,0.0,135000000,specific,1.0,1x,32.0,,30772075.0,1466176725.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:20:17.046656,28313,90.0
5605908084,bam,,,2016-09-08 04:16:31.105945,slurm_multi,1473308957.0,0,,6.0,main_w4_handler2,2648948,13803281,False,,8023803,slurm,,132112168.0,corral-repl,,0,no,,,false,1,true,0.0,no,,no,true,chrY,1,,,yes,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a18ee0e3f85660e2'}]",,"""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,32.0,,32832651.0,1473308208.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-08 04:29:19.557217,81516,749.0
2240122638,bam,,,2016-09-08 04:21:00.696895,slurm_multi,1473309477.0,0,,6.0,main_w3_handler2,2813696,13803299,False,,8023834,slurm,,132112168.0,corral-repl,,0,no,,,false,1,true,0.0,no,,no,true,chrY,1,,,yes,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b523a8e13a820a41b4'}]",,"""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,32.0,,32832651.0,1473308965.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-08 04:37:59.498685,81516,512.0
