candidate,candidate_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.align,parameters.alignment.__current_case__,parameters.alignment.source,parameters.alignment.template.values,parameters.candidate.values,parameters.candidate|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.reverse.__current_case__,parameters.reverse.flip,parameters.reverse.threshold,parameters.scoring.__current_case__,parameters.scoring.adjust,parameters.search.__current_case__,parameters.search.ksize,parameters.search.method,runner_name,session_id,state,template,template_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2512169,fasta,2018-03-09 02:55:06.023496,slurm_normal,,main_w4_handler0,3419528,18666854,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12763040,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 34280031}]","[{'src': 'hda', 'id': 34244379}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/propAcne_KPA171202.len""","""propAcne_KPA171202""",1,no,,1,no,2,,blast,,44012770,error,2592333,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2018-03-09 02:56:03.420270,121461,57.396774
3942019,fasta,2017-11-16 13:24:47.889887,slurm_normal,,main_w4_handler0,3326602,17481985,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11539784,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353101}]","""1_2.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 13:34:30.841123,50169,582.951236
8544666,fasta,2017-11-16 14:47:52.270436,slurm_normal,,main_w4_handler1,3326602,17482868,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11540658,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353105}]","""1_1.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 14:52:46.205411,50169,293.934975
12622695,fasta,2018-01-25 15:36:01.802996,slurm_normal,,main_w3_handler0,3403530,18155302,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12236485,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 33497767}]","[{'src': 'hda', 'id': 33479436}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,43222891,error,10680384402,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2018-01-25 15:40:12.913816,42087,251.11082000000002
3461890,fasta,2017-11-16 13:24:42.970270,slurm_normal,,main_w4_handler0,3326602,17481979,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11539708,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353073}]","""4_2.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 13:30:06.920996,50169,323.95072600000003
181797,fasta,2017-12-14 09:00:16.440581,slurm_normal,,main_w4_handler0,3360404,17804676,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11874293,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32844818}]","[{'src': 'hda', 'id': 32844825}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,42634742,error,200694,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-14 09:00:59.140558,112385,42.699977000000004
3943285,fasta,2017-11-16 14:47:49.625113,slurm_normal,,main_w3_handler1,3326602,17482865,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11540689,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353093}]","""2_2.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 14:56:21.534509,50169,511.909396
1713090371,fasta,2018-02-27 18:45:39.609134,slurm_normal,,main_w3_handler1,3443418,18538573,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12635168,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 34098029}]","[{'src': 'hda', 'id': 34100672}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,44175763,error,6646701,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2018-02-27 21:59:35.517306,122838,11635.908172000001
8783613,fasta,2017-11-16 19:06:31.456231,slurm_normal,,main_w3_handler0,3326602,17485815,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11543343,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32362148}]","[{'src': 'hda', 'id': 32353087}]","""3_1.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 19:11:31.605339,50169,300.149108
181425,fasta,2017-10-05 11:08:53.940687,slurm_normal,,main_w4_handler0,3269248,17029976,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11086269.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 31557170}]","[{'src': 'hda', 'id': 31567520}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,12,kmer,,40904403,error,200694,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-05 11:10:16.313782,112385,82.373095
4142535,fasta,2017-11-16 14:47:48.029965,slurm_normal,,main_w3_handler1,3326602,17482863,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11540654,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353082}]","""3_2.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 14:52:12.662742,50169,264.63277700000003
74316289,fasta,2017-12-03 11:20:12.134599,slurm_normal,,main_w3_handler0,3274927,17680294,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11742994,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32699593}]","[{'src': 'hda', 'id': 32700226}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,42421588,error,97550160247,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-03 11:24:55.667971,112739,283.53337200000004
3461890,fasta,2017-11-16 14:47:46.444285,slurm_normal,,main_w3_handler1,3326602,17482861,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11540649,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353073}]","""4_2.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 14:52:14.632102,50169,268.187817
6850,fasta,2018-03-06 19:55:27.854369,slurm_normal,,main_w4_handler0,3151423,18629304,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12725539,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 34248061}]","[{'src': 'hda', 'id': 34248138}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,44374151,error,6115391889,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2018-03-06 20:00:09.855020,60415,282.000651
618910524,fasta,2017-10-20 19:29:38.917150,slurm_normal,,main_w4_handler0,2646197,17158006,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11217102,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 31778149}]","[{'src': 'hda', 'id': 31780676}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,41425936,error,29737,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-20 20:52:41.823267,81381,4982.906117
74316289,fasta,2017-12-03 12:01:21.172442,slurm_normal,,main_w3_handler0,3274927,17680426,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11743171,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32700518}]","[{'src': 'hda', 'id': 32700226}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,2,,blast,,42421588,error,9714041063,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-03 12:05:01.887130,112739,220.71468800000002
376854820,fasta,2017-12-21 21:19:17.661896,slurm_normal,,main_w4_handler0,3372510,17874811,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11947717,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 33043987}]","[{'src': 'hda', 'id': 33043846}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,42809957,error,200975572,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-21 21:24:07.507307,118990,289.845411
181797,fasta,2017-12-11 11:42:29.106398,slurm_normal,,main_w4_handler1,3360404,17771862,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11840590,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32844818}]","[{'src': 'hda', 'id': 32844825}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,42564698,error,200694,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-11 11:43:13.861117,112385,44.754719
618108763,fasta,2017-10-23 16:03:30.098066,slurm_normal,,main_w3_handler1,2646197,17180151,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11240552,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 31778149}]","[{'src': 'hda', 'id': 31782485}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,41425936,error,29737,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-23 16:03:52.991081,81381,22.893015000000002
3943285,fasta,2017-11-16 13:24:46.181843,slurm_normal,,main_w4_handler1,3326602,17481983,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11539780,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353093}]","""2_2.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 13:34:32.897245,50169,586.715402
8351188,fasta,2017-11-16 14:47:47.160843,slurm_normal,,main_w3_handler0,3326602,17482862,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11540648,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353078}]","""4_1.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 14:52:13.338528,50169,266.177685
181942,fasta,2017-10-04 20:52:57.382779,slurm_normal,,main_w3_handler1,3269248,17026948,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11082708.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 31557170}]","[{'src': 'hda', 'id': 31561924}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,40904403,error,200694,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-04 20:54:34.020399,112385,96.63762000000001
181942,fasta,2017-10-04 20:17:25.791728,slurm_normal,,main_w3_handler1,3269248,17026695,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11082372.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 31557170}]","[{'src': 'hda', 'id': 31561924}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,40904403,error,200694,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-04 20:20:47.177163,112385,201.385435
8783613,fasta,2017-11-16 13:24:45.336977,slurm_normal,,main_w4_handler0,3326602,17481982,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11539709,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353087}]","""3_1.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 13:30:07.994598,50169,322.657621
8351188,fasta,2017-11-16 19:06:29.655772,slurm_normal,,main_w3_handler1,3326602,17485813,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11543344,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32362148}]","[{'src': 'hda', 'id': 32353078}]","""4_1.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 19:11:36.456772,50169,306.80100000000004
74316289,fasta,2017-12-03 11:26:59.193433,slurm_normal,,main_w3_handler1,3274927,17680323,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11743036,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32699593}]","[{'src': 'hda', 'id': 32700226}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,2,,blast,,42421588,error,97550160247,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-03 11:30:53.990615,112739,234.79718200000002
8544666,fasta,2017-11-16 19:06:35.415151,slurm_normal,,main_w3_handler0,3326602,17485819,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11543385,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32362148}]","[{'src': 'hda', 'id': 32353105}]","""1_1.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 19:16:17.003461,50169,581.5883100000001
618910524,fasta,2017-10-20 21:41:00.928825,slurm_normal,,main_w3_handler1,2646197,17159018,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11217763,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 31778149}]","[{'src': 'hda', 'id': 31780676}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,41425936,error,29737,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-20 21:41:29.391728,81381,28.462903
74316289,fasta,2017-12-03 11:41:49.272454,slurm_normal,,main_w4_handler0,3274927,17680366,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11743100,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32699593}]","[{'src': 'hda', 'id': 32700226}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,2,,blast,,42421588,error,97550160247,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-03 11:45:44.392279,112739,235.11982500000002
3461890,fasta,2017-11-16 19:06:28.916778,slurm_normal,,main_w4_handler1,3326602,17485812,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11543345,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32362148}]","[{'src': 'hda', 'id': 32353073}]","""4_2.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 19:11:39.624594,50169,310.70781600000004
21011035,fasta,2017-12-06 18:27:09.741035,slurm_normal,,main_w3_handler0,3355458,17723126,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11788928,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32773499}]","[{'src': 'hda', 'id': 32774904}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-06 18:31:21.807757,50169,252.06672200000003
