chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,history_item,history_item_filetype,id,imported,info,input_format|paired|forward,input_format|paired|forward_filetype,input_format|paired|reads1,input_format|paired|reads1_filetype,input_format|paired|reads2,input_format|paired|reads2_filetype,input_format|paired|reverse,input_format|paired|reverse_filetype,input_format|reads,input_format|reads_filetype,job_runner_external_id,job_runner_name,known_splice_gtf,known_splice_gtf_filetype,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.alignment_options.__current_case__,parameters.alignment_options.alignment_options_selector,parameters.alignment_options.coefficient,parameters.alignment_options.constant_term,parameters.alignment_options.function_type,parameters.alignment_options.ignore_quals,parameters.alignment_options.skip_forward,parameters.alignment_options.skip_reverse,parameters.chromInfo,parameters.dbkey,parameters.input_format.__current_case__,parameters.input_format.input_format_selector,parameters.input_format.paired.__current_case__,parameters.input_format.paired.aligned_file,parameters.input_format.paired.collection.__current_case__,parameters.input_format.paired.collection.collection_selector,parameters.input_format.paired.collection.forward.values,parameters.input_format.paired.collection.reads.values,parameters.input_format.paired.collection.reverse.values,parameters.input_format.paired.paired_end_options.__current_case__,parameters.input_format.paired.paired_end_options.no_discordant,parameters.input_format.paired.paired_end_options.no_mixed,parameters.input_format.paired.paired_end_options.paired_end_options_selector,parameters.input_format.paired.paired_end_options.skip_reverse,parameters.input_format.paired.paired_selector,parameters.input_format.paired.reads.values,parameters.input_format.paired.unaligned_file,parameters.input_options.__current_case__,parameters.input_options.input_options_selector,parameters.input_options.skip,parameters.input_options.stop_after,parameters.input_options.trim_five,parameters.input_options.trim_three,parameters.max_primary,parameters.max_seeds,parameters.paired_options.__current_case__,parameters.paired_options.paired_options_selector,parameters.reference_genome.__current_case__,parameters.reference_genome.history_item.values,parameters.reference_genome.index,parameters.reference_genome.reference_genome_source,parameters.scoring_options.__current_case__,parameters.scoring_options.ambiguous_penalty,parameters.scoring_options.coefficient,parameters.scoring_options.constant_term,parameters.scoring_options.function_type,parameters.scoring_options.match_bonus,parameters.scoring_options.max_mismatch,parameters.scoring_options.min_mismatch,parameters.scoring_options.no_softclip,parameters.scoring_options.read_extend_penalty,parameters.scoring_options.read_open_penalty,parameters.scoring_options.ref_extend_penalty,parameters.scoring_options.ref_open_penalty,parameters.scoring_options.scoring_options_selector,parameters.scoring_options.soft_clip_penalty_max,parameters.scoring_options.soft_clip_penalty_min,parameters.secondary,parameters.spliced_options.__current_case__,parameters.spliced_options.canonical_penalty,parameters.spliced_options.coefficient,parameters.spliced_options.constant_term,parameters.spliced_options.function_type,parameters.spliced_options.known_splice_gtf.values,parameters.spliced_options.max_intron,parameters.spliced_options.min_intron,parameters.spliced_options.nc_coefficient,parameters.spliced_options.nc_constant_term,parameters.spliced_options.nc_function_type,parameters.spliced_options.no_spliced_alignment_options.__current_case__,parameters.spliced_options.no_spliced_alignment_options.no_spliced_alignment,parameters.spliced_options.noncanonical_penalty,parameters.spliced_options.rna_strandness,parameters.spliced_options.spliced_options_selector,parameters.spliced_options.tma,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-08-29 06:16:52.030158,slurm_multi,,main_w3_handler2,3217304,13725373601.0,fasta,16679319,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,2196492574.0,fastqsanger,10751461,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,false,,,,,,,,,,,single,"[{'src': 'hda', 'id': 30986237}]",false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 30986129}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,39876560,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-08-29 06:27:40.230278,109841,648.2001200000001
,,2017-11-03 12:53:39.689166,slurm_multi,,main_w4_handler2,2864643,13722567486.0,fasta,17316829,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,3657615004.0,fastqsanger.gz,3728532417.0,fastqsanger.gz,,,,,11377660,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,0,false,0.0,collection,,"[{'src': 'dce', 'id': 1026871}]",,0.0,,,defaults,,paired,,false,0,defaults,,,,,"""5""","""""",0,defaults,1,"[{'src': 'hda', 'id': 32049047}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,41722708,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-03 13:59:27.589592,92798,3947.900426
,,2017-12-07 04:17:34.117719,slurm_multi,,main_w4_handler2,3328312,6652528295.0,fasta,17728643,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,197822208.0,fastqsanger,11794975,slurm,,,,corral-repl,,0,no,1,advanced,0.15,0.0,L,true,false,false,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,1,true,,,,,,,,,,,single,"[{'src': 'hda', 'id': 32732566}]",true,1,advanced,0,0,0,0,"""5""","""5""",0,defaults,1,"[{'src': 'hda', 'id': 32594749}]",,history,1,1,-0.2,0.0,L,2,20,2,false,3,5,3,5,advanced,20,1,"""false""",0,,,,,,,,,,,,,,,defaults,,,42309204,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-12-07 04:37:28.635385,112314,1194.517666
,,2017-08-15 22:50:22.541939,slurm_multi,,main_w4_handler2,3177177,4444903621.0,fasta,16590158,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",17286382140.0,fastq,,,,,17286382140.0,fastq,,,10661825,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 30252274}]",,"[{'src': 'hda', 'id': 30252286}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 30886513}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,39890540,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-08-15 23:03:30.591200,108380,788.049261
,,2017-11-03 12:53:39.039151,slurm_multi,,main_w3_handler2,2864643,13722567486.0,fasta,17316828,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,5343744838.0,fastqsanger.gz,5240981026.0,fastqsanger.gz,,,,,11377298,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,0,false,0.0,collection,,"[{'src': 'dce', 'id': 1026870}]",,0.0,,,defaults,,paired,,false,0,defaults,,,,,"""5""","""""",0,defaults,1,"[{'src': 'hda', 'id': 32049047}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,41722708,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-03 13:41:09.689920,92798,2850.6507690000003
,,2017-11-28 05:45:44.531528,slurm_multi,,main_w4_handler2,3339062,13725373601.0,fasta,17613947,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8361783004.0,fastqsanger,,,,,8361783004.0,fastqsanger,,,11674806,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/main/files/022/434/dataset_22434006.dat""","""Wheat_v37""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 32537114}]",,"[{'src': 'hda', 'id': 32537115}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 32576174}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,42246100,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-28 05:54:26.997709,117104,522.466181
,,2017-08-28 07:20:28.389022,slurm_multi,,main_w3_handler2,3217304,13725373601.0,fasta,16671418,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,2196492574.0,fastq,10743840,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,false,,,,,,,,,,,single,"[{'src': 'hda', 'id': 31006457}]",false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 30986129}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,39876560,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-08-28 08:06:18.551128,109841,2750.162106
,,2017-08-28 07:20:27.794475,slurm_multi,,main_w4_handler2,3217304,13723165766.0,fasta,16671416,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,2196492574.0,fastq,10743677,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,false,,,,,,,,,,,single,"[{'src': 'hda', 'id': 31006457}]",false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 30986113}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,39876560,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-08-28 07:39:52.923564,109841,1165.129089
,,2017-08-26 00:51:34.440228,slurm_multi,,main_w3_handler2,3225439,5985794012.0,fasta,16662924,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,450426699.0,fastqsanger,10735388,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,false,,,,,,,,,,,single,"[{'src': 'hda', 'id': 30967361}]",false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 30917462}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,39952415,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-08-26 01:04:21.557910,90427,767.1176820000001
,,2017-12-07 04:17:33.579458,slurm_multi,,main_w4_handler2,3328312,6652528295.0,fasta,17728642,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,245770972.0,fastqsanger,11794969,slurm,,,,corral-repl,,0,no,1,advanced,0.15,0.0,L,true,false,false,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,1,true,,,,,,,,,,,single,"[{'src': 'hda', 'id': 32732565}]",true,1,advanced,0,0,0,0,"""5""","""5""",0,defaults,1,"[{'src': 'hda', 'id': 32594749}]",,history,1,1,-0.2,0.0,L,2,20,2,false,3,5,3,5,advanced,20,1,"""false""",0,,,,,,,,,,,,,,,defaults,,,42309204,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-12-07 04:36:59.116806,112314,1165.537348
,,2017-08-17 13:14:26.359801,slurm_multi,,main_w3_handler2,3177177,4444903621.0,fasta,16600735,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",17286382140.0,fastq,,,,,17286382140.0,fastq,,,10672824,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 30252274}]",,"[{'src': 'hda', 'id': 30252286}]",1.0,false,false,advanced,false,paired,,false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 30886513}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,39886334,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-08-17 13:26:36.469522,108380,730.109721
,,2017-08-16 14:18:25.338343,slurm_multi,,main_w4_handler2,3177177,4444903621.0,fasta,16594104,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",17286382140.0,fastq,,,,,17286382140.0,fastq,,,10665962,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 30252274}]",,"[{'src': 'hda', 'id': 30252286}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 30886513}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,39886334,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-08-16 14:28:47.022504,108380,621.684161
,,2017-11-28 05:46:23.609729,slurm_multi,,main_w3_handler2,3339062,13725373601.0,fasta,17613951,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7813330823.0,fastqsanger,,,,,7813330823.0,fastqsanger,,,11674867,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/main/files/022/434/dataset_22434006.dat""","""Wheat_v37""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 32543806}]",,"[{'src': 'hda', 'id': 32543807}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 32576174}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,42246100,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-28 06:14:49.211349,117104,1705.6016200000001
23433632.0,len,2017-11-28 05:47:17.566100,slurm_multi,,main_w4_handler2,3339062,13725373601.0,fasta,17613956,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7246642191.0,fastqsanger,,,,,7246642191.0,fastqsanger,,,11674850,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/main/files/022/471/dataset_22471550.dat""","""?""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 32545582}]",,"[{'src': 'hda', 'id': 32545583}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 32576174}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,42246100,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-28 06:09:57.640251,117104,1360.074151
