create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,input_mask_rod,input_mask_rod_filetype,input_variant,input_variant_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.cluster_snp_type.__current_case__,parameters.cluster_snp_type.cluster_size,parameters.cluster_snp_type.cluster_snp_type_selector,parameters.cluster_snp_type.cluster_window_size,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.mask_rod_bind_type.__current_case__,parameters.mask_rod_bind_type.input_mask_rod,parameters.mask_rod_bind_type.input_mask_rod.values,parameters.mask_rod_bind_type.mask_extension,parameters.mask_rod_bind_type.mask_rod_bind_type_selector,parameters.mask_rod_bind_type.mask_rod_name,parameters.missing_values_in_expressions_should_evaluate_as_failing,parameters.reference_source.__current_case__,parameters.reference_source.input_variant,parameters.reference_source.input_variant.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.variant_filters,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-09 00:12:03.134251,slurm_normal,,main_w1_handler2,2382854,11754257,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,404550516,vcf,6010326.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,0,,,,exclude_mask,,"""False""",1,21085794.0,,20813283,,history,[],4708052.0,fasta,,26577807,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-02-09 00:14:20.475158,66578,137.34090700000002
2015-01-24 20:03:19.273238,rodeo_normal,,main_w2_handler0,1104862,8600254,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,2320613907.0,vcf,715175,vcf,2555601.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""",0,,do_not_cluster_snp,,"""hg19""",0,,,,,,,basic,,,,,,,,,,,,,1,18288250.0,,0,set_mask,Mask,"""False""",1,18287538.0,,18252376,,history,"[{""__index__"": 0, ""filter_expression"": ""DP>30"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter""}]",3199905909.0,fasta,,20419807,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-01-24 20:06:17.462884,25699,178.189646
2014-11-18 00:55:02.168348,rodeo_normal,,main_w1_handler0,2099877,8189417,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,749685458,vcf,2039126.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/009/304/dataset_9304384.dat""",0,,do_not_cluster_snp,,"""IRGSP-1.0""",0,,,,,,,basic,,,,,,,,,,,,,0,,,,exclude_mask,,"""False""",1,17569911.0,,17362225,,history,"[{""__index__"": 0, ""filter_expression"": ""QD < 2.0 || FS > 60.0 || MQ < 40.0 || HaplotypeScore > 13.0 || MQRankSum < -12.5 || ReadPosRankSum < -8.0"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom.snp_filter""}]",379466370.0,fasta,,18124944,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2014-11-18 00:56:43.330517,49852,101.162169
2015-03-13 06:51:15.028409,rodeo_normal,,main_w2_handler0,2230007,8940187,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49364721.0,bed,,,10993224,vcf,3153629.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""",1,3,cluster_snp,10,"""hg19""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 18846293, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,0,,,,exclude_mask,,"""False""",1,18846286.0,,18765678,,history,"[{""__index__"": 0, ""filter_expression"": ""AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter_AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8""}]",3199905909.0,fasta,,21607965,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-03-13 06:53:27.968911,58799,132.940502
2016-09-23 13:19:44.903854,slurm_normal,,main_w4_handler0,2712729,13925351,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,113938112,vcf,8147708.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,0,,,,exclude_mask,,"""false""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b579400bb2dd7fe208'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c6fbd6e7a9972b8a'}]",history,"[{""__index__"": 0, ""filter_expression"": ""DP < 15 || QD < 10 || MQ < 60"", ""is_genotype_filter"": ""false"", ""filter_name"": ""FILTER""}]",121182577.0,fasta,,32987327,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-09-23 13:22:49.901179,60924,184.99732500000002
2015-06-04 13:46:55.883918,slurm_normal,,main_w2_handler0,2329767,9597653,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,5469265540.0,vcf,13787,vcf,3908948.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""",0,,do_not_cluster_snp,,"""hg19""",0,,,,,,,basic,,,,,,,,,,,,,1,19904712.0,,0,set_mask,GMAF,"""False""",1,19905203.0,,19913768,,history,[],3199905909.0,fasta,,23274988,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-06-04 13:54:30.834726,48729,454.95080800000005
2016-10-10 14:21:51.188931,slurm_normal,,main_w4_handler1,2848844,14045329,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,4481967537.0,vcf,4481967537,vcf,8262766.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""",0,,do_not_cluster_snp,,"""hg38""",0,,,,,,,basic,,,,,,,,,,,,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55596c64adb19b20a'}]",0,set_mask,Mask,"""false""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55596c64adb19b20a'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5521d489fb91f6d93'}]",history,"[{""__index__"": 0, ""filter_expression"": ""AB < 0.2 || MQ0 > 30"", ""is_genotype_filter"": ""false"", ""filter_name"": ""custom_filter""}, {""__index__"": 1, ""filter_expression"": ""maf<0.01"", ""is_genotype_filter"": ""false"", ""filter_name"": ""custom_filter""}]",137338124.0,fasta,,33492556,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-10-10 14:27:45.753077,90340,354.564146
2015-03-13 06:42:45.418465,rodeo_normal,,main_w2_handler0,2230007,8940175,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49364721.0,bed,,,10162570,vcf,3153590.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""",1,3,cluster_snp,10,"""hg19""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 18846293, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,0,,,,exclude_mask,,"""False""",1,18846288.0,,18765678,,history,"[{""__index__"": 0, ""filter_expression"": ""AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter_AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8""}]",3199905909.0,fasta,,21607965,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-03-13 06:45:59.462536,58799,194.044071
2014-11-18 00:53:37.493598,rodeo_normal,,main_w2_handler1,2099877,8189415,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,761322790.0,vcf,749685458,vcf,2039122.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/009/304/dataset_9304384.dat""",0,,do_not_cluster_snp,,"""IRGSP-1.0""",0,,,,,,,basic,,,,,,,,,,,,,1,17584528.0,,0,set_mask,Mask,"""False""",1,17569911.0,,17362225,,history,"[{""__index__"": 0, ""filter_expression"": ""QD < 2.0 || FS > 60.0 || MQ < 40.0 || HaplotypeScore > 13.0 || MQRankSum < -12.5 || ReadPosRankSum < -8.0"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom.snp_filter""}]",379466370.0,fasta,,18124944,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2014-11-18 01:00:00.862241,49852,383.368643
2015-03-13 06:55:35.354847,rodeo_normal,,main_w2_handler1,2230007,8940196,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49364721.0,bed,,,10993224,vcf,3153645.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""",1,3,cluster_snp,10,"""hg19""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 18846293, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,0,,,,exclude_mask,,"""False""",1,18846286.0,,18765678,,history,"[{""__index__"": 0, ""filter_expression"": ""AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter_AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8""}]",3199905909.0,fasta,,21607965,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-03-13 06:57:31.011771,58799,115.656924
2015-10-19 21:08:40.847242,slurm_normal,,main_w1_handler2,2470745,10646203,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,117002901,vcf,4909728.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,0,,,,exclude_mask,,"""False""",1,21612854.0,,21591898,,history,"[{""__index__"": 0, ""filter_expression"": ""CHROM = 'Chr1'"", ""is_genotype_filter"": ""False"", ""filter_name"": ""chr1""}]",121183082.0,fasta,,24551116,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-10-19 21:11:20.013252,37688,159.16601
2016-10-10 14:31:56.982439,slurm_normal,,main_w3_handler1,2848844,14045449,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,3936555544.0,vcf,3936555544,vcf,8262883.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""",0,,do_not_cluster_snp,,"""hg38""",0,,,,,,,basic,,,,,,,,,,,,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b578f90f76547a851b'}]",0,set_mask,Mask,"""false""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b578f90f76547a851b'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5521d489fb91f6d93'}]",history,[],137338124.0,fasta,,33492556,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-10-10 14:35:34.115844,90340,217.133405
2016-02-23 10:42:15.261752,slurm_normal,,main_w1_handler0,2604599,11908644,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,2739495409,vcf,6146567.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,0,,,,exclude_mask,,"""False""",1,23448367.0,,23431601,,history,"[{""__index__"": 0, ""filter_expression"": ""isHet == 1"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter""}]",17350294.0,fasta,,26519761,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-02-23 10:45:42.611602,17244,207.34985
2016-09-23 13:08:32.613383,slurm_normal,,main_w4_handler1,2712729,13925295,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,113938112,vcf,8147595.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,0,,,,exclude_mask,,"""false""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b579400bb2dd7fe208'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c6fbd6e7a9972b8a'}]",history,"[{""__index__"": 0, ""filter_expression"": ""DP < 15 || QD < 10 || MQ < 60 || MQRankSum < -10 || BaseQRankSum < -10 || FS > 10 || ReadPosRankSum < -10"", ""is_genotype_filter"": ""false"", ""filter_name"": ""custom_filter""}]",121182577.0,fasta,,32987327,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-09-23 13:12:28.572412,60924,235.95902900000002
2015-03-13 06:48:31.367445,rodeo_normal,,main_w1_handler1,2230007,8940182,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49364721.0,bed,,,10162570,vcf,3153615.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""",1,3,cluster_snp,10,"""hg19""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 18846293, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,0,,,,exclude_mask,,"""False""",1,18846288.0,,18765678,,history,"[{""__index__"": 0, ""filter_expression"": ""AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter_AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8""}]",3199905909.0,fasta,,21607965,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-03-13 06:53:09.557025,58799,278.18958000000003
