parameters.random,id,runtime
70,2293,129600
25,7079,129600
50,7049,129600
83,279,129600
76,9059,129600
86,7153,129600
19,8521,129600
93,1339,129600
1,1497,129600
43,5391,129600
30,9410,129600
95,8498,129600
29,3303,129600
87,706,129600
10,1939,129600
92,925,129600
28,6412,129600
13,7067,129600
16,2420,129600
28,2319,129600
55,9252,129600
43,5751,129600
72,6334,129600
58,2495,129600
38,8328,129600
54,533,129600
48,3362,129600
78,3640,129600
24,8297,129600
16,1161,129600
67,6873,129600
92,3042,129600
47,8079,129600
38,573,129600
63,5702,129600
80,7814,129600
26,6317,129600
34,2840,129600
69,8553,129600
72,3666,129600
44,3916,129600
41,7425,129600
18,149,129600
13,7963,129600
53,9555,129600
2,7144,129600
31,9362,129600
63,4553,129600
33,2057,129600
59,2180,129600
85,1064,129600
86,4594,129600
3,5950,129600
52,6206,129600
18,9380,129600
2,6773,129600
98,3215,129600
29,6341,129600
47,5123,129600
58,1473,129600
81,1721,129600
81,7537,129600
73,6343,129600
77,9800,129600
24,5531,129600
13,4866,129600
49,9182,129600
44,4796,129600
39,6810,129600
98,7401,129600
98,4985,129600
0,1492,129600
8,7667,129600
58,7781,129600
36,3937,129600
17,7137,129600
84,6432,129600
37,1713,129600
20,2186,129600
30,7324,129600
80,5114,129600
51,630,129600
84,3891,129600
51,2491,129600
8,32,129600
97,1270,129600
44,1254,129600
69,4931,129600
76,539,129600
60,3686,129600
69,5549,129600
37,5445,129600
24,4251,129600
67,6189,129600
79,4483,129600
51,6396,129600
92,1238,129600
54,6147,129600
53,8407,129600
81,8799,129600
32,4108,129600
5,6382,129600
16,2233,129600
66,8514,129600
67,4312,129600
51,546,129600
46,8428,129600
63,5058,129600
16,6846,129600
72,4637,129600
62,3420,129600
76,1307,129600
85,9762,129600
63,1231,129600
14,7462,129600
84,7416,129600
28,7317,129600
66,7791,129600
33,7193,129600
15,3166,129600
80,4893,129600
67,5322,129600
70,23,129600
46,1178,129600
2,4509,129600
4,4491,129600
56,2365,129600
20,7828,129600
64,9990,129600
70,6899,129600
8,9585,129600
20,8319,129600
10,6467,129600
15,5623,129600
4,2061,129600
78,5885,129600
88,4825,129600
28,2745,129600
98,4960,129600
47,5994,129600
71,5239,129600
40,4359,129600
27,5912,129600
8,2629,129600
7,7421,129600
43,4346,129600
94,2081,129600
80,1323,129600
23,5944,129600
39,6576,129600
38,2165,129600
62,9767,129600
71,291,129600
8,9943,129600
44,817,129600
91,4456,129600
24,4155,129600
50,1072,129600
27,1086,129600
28,5143,129600
16,7662,129600
38,12,129600
46,8806,129600
8,4499,129600
28,6841,129600
54,604,129600
13,2148,129600
17,8332,129600
6,896,129600
57,1103,129600
65,7370,129600
82,6142,129600
3,9239,129600
69,7376,129600
89,8052,129600
70,3615,129600
34,1134,129600
69,154,129600
57,5850,129600
53,9852,129600
57,563,129600
11,4040,129600
72,8446,129600
40,1430,129600
76,2680,129600
94,244,129600
51,6528,129600
60,6874,129600
67,2632,129600
88,2450,129600
29,8523,129600
60,1164,129600
28,8393,129600
59,7589,129600
50,1297,129600
26,8878,129600
46,3256,129600
42,9597,129600
98,9147,129600
41,8290,129600
93,5855,129600
94,1611,129600
73,8190,129600
43,8074,129600
26,9828,129600
8,7025,129600
82,8031,129600
8,8347,129600
47,7679,129600
46,5062,129600
63,7555,129600
45,8665,129600
90,9484,129600
41,3007,129600
57,6180,129600
57,380,129600
8,4413,129600
38,5069,129600
0,7834,129600
57,8517,129600
47,2761,129600
15,6591,129600
12,7715,129600
95,5305,129600
89,5019,129600
4,6640,129600
81,3581,129600
31,2954,129600
13,3268,129600
24,5443,129600
26,7915,129600
0,7826,129600
91,9318,129600
24,3041,129600
76,5186,129600
35,7383,129600
14,1935,129600
50,9268,129600
43,7709,129600
79,3983,129600
63,7482,129600
32,7540,129600
78,6584,129600
29,9740,129600
66,5213,129600
18,7387,129600
21,4522,129600
91,2426,129600
69,6080,129600
51,1896,129600
99,924,129600
35,113,129600
34,4739,129600
38,6535,129600
95,5553,129600
89,1674,129600
54,5837,129600
92,4344,129600
68,1734,129600
39,9340,129600
5,1658,129600
17,1570,129600
87,8820,129600
12,6659,129600
13,1153,129600
55,1551,129600
41,7295,129600
32,6699,129600
23,125,129600
36,4504,129600
83,6593,129600
73,8058,129600
31,6124,129600
63,5951,129600
90,1695,129600
13,4000,129600
43,2271,129600
65,4099,129600
98,2525,129600
66,8391,129600
32,4668,129600
5,4406,129600
32,3375,129600
5,9096,129600
71,1394,129600
1,8254,129600
86,8161,129600
33,9143,129600
3,8315,129600
12,7926,129600
61,2932,129600
14,7027,129600
89,1090,129600
57,7312,129600
1,2794,129600
35,5049,129600
45,1312,129600
89,1585,129600
26,6328,129600
0,6268,129600
2,1549,129600
70,8482,129600
45,2021,129600
34,7210,129600
47,7824,129600
35,1154,129600
91,5340,129600
10,9658,129600
39,4577,129600
29,8204,129600
78,9236,129600
56,1861,129600
18,6284,129600
54,5493,129600
76,7408,129600
71,6276,129600
31,9474,129600
12,5171,129600
7,8155,129600
14,2789,129600
71,7377,129600
98,6969,129600
89,1216,129600
53,7252,129600
68,4916,129600
81,2337,129600
67,7822,129600
40,6373,129600
92,8278,129600
90,9209,129600
99,2425,129600
10,3742,129600
68,6871,129600
40,2436,129600
46,5124,129600
97,8135,129600
2,2203,129600
67,3248,129600
82,1778,129600
87,1832,129600
60,9125,129600
16,9042,129600
93,4043,129600
27,5164,129600
82,8610,129600
65,8800,129600
54,3217,129600
8,413,129600
35,7173,129600
26,3428,129600
87,5471,129600
32,8291,129600
60,635,129600
81,6606,129600
84,6015,129600
4,5347,129600
41,7500,129600
51,5955,129600
60,238,129600
88,5266,129600
30,495,129600
56,9949,129600
63,4702,129600
51,5504,129600
70,2040,129600
64,8303,129600
83,5833,129600
14,9907,129600
56,9359,129600
48,5409,129600
31,9714,129600
8,9670,129600
12,9075,129600
46,2477,129600
10,4416,129600
13,3993,129600
20,7675,129600
58,4579,129600
38,9876,129600
62,9905,129600
50,4741,129600
65,2888,129600
14,8060,129600
83,9100,129600
37,6482,129600
73,9846,129600
21,7854,129600
7,6743,129600
26,1701,129600
70,7891,129600
12,4129,129600
99,6636,129600
8,4929,129600
83,6051,129600
68,5008,129600
16,3128,129600
23,9962,129600
75,7973,129600
91,8197,129600
32,4659,129600
36,2375,129600
20,4121,129600
35,1963,129600
87,1208,129600
70,2530,129600
99,3783,129600
5,8603,129600
11,4631,129600
75,9558,129600
57,9190,129600
24,4568,129600
60,2747,129600
87,4423,129600
13,4727,129600
3,6028,129600
65,1264,129600
83,8844,129600
37,664,129600
8,4550,129600
85,5313,129600
54,2038,129600
98,4991,129600
1,3874,129600
80,4786,129600
45,2132,129600
59,3005,129600
73,9423,129600
30,3631,129600
67,2328,129600
29,491,129600
80,3288,129600
11,3132,129600
78,6603,129600
45,7436,129600
42,2168,129600
66,3667,129600
8,2071,129600
69,9393,129600
97,5345,129600
83,762,129600
80,2964,129600
44,4425,129600
43,9787,129600
59,4880,129600
4,6074,129600
92,2041,129600
45,8186,129600
96,3799,129600
84,3508,129600
2,6802,129600
69,7622,129600
5,1949,129600
72,6696,129600
32,5821,129600
7,4479,129600
62,3870,129600
16,3964,129600
56,9126,129600
91,2968,129600
17,7428,129600
63,3475,129600
3,2510,129600
33,7517,129600
22,9506,129600
2,6295,129600
82,3193,129600
22,8691,129600
94,1681,129600
49,4067,129600
26,5607,129600
24,7674,129600
71,1568,129600
7,4116,129600
5,3533,129600
31,9903,129600
75,9635,129600
64,3207,129600
47,949,129600
51,7212,129600
87,3622,129600
15,8677,129600
20,5870,129600
47,3646,129600
56,3901,129600
42,9135,129600
73,548,129600
46,3219,129600
82,8340,129600
70,2296,129600
17,1812,129600
31,7819,129600
99,1552,129600
71,3886,129600
80,4138,129600
44,5719,129600
33,6539,129600
38,7318,129600
97,4336,129600
88,430,129600
61,8284,129600
62,109,129600
85,7987,129600
17,8719,129600
90,5948,129600
25,4686,129600
59,2709,129600
88,7229,129600
85,9115,129600
52,7439,129600
45,7191,129600
23,9229,129600
8,3064,129600
81,6582,129600
25,5245,129600
43,9424,129600
24,3477,129600
65,4387,129600
66,5452,129600
12,3387,129600
7,9078,129600
11,9287,129600
33,7223,129600
44,247,129600
79,180,129600
47,6297,129600
7,6191,129600
34,8276,129600
83,3233,129600
94,1075,129600
45,590,129600
9,693,129600
1,3117,129600
79,9493,129600
73,9111,129600
69,4547,129600
31,7861,129600
28,4895,129600
54,4621,129600
56,4031,129600
87,2325,129600
83,7008,129600
55,5294,129600
90,6702,129600
72,3682,129600
52,1810,129600
83,9507,129600
56,5883,129600
9,8549,129600
15,3299,129600
54,3326,129600
63,326,129600
38,538,129600
98,414,129600
92,5172,129600
50,15,129600
21,8593,129600
1,903,129600
80,4580,129600
94,3841,129600
39,3972,129600
26,2560,129600
96,8327,129600
32,5265,129600
67,7358,129600
92,1813,129600
12,8238,129600
48,4938,129600
62,5685,129600
91,3583,129600
31,2703,129600
42,8105,129600
93,8390,129600
26,2741,129600
91,6236,129600
82,6568,129600
70,3178,129600
35,130,129600
64,8072,129600
26,3829,129600
22,6900,129600
75,6048,129600
68,8648,129600
56,816,129600
55,3448,129600
37,8243,129600
8,9361,129600
21,9625,129600
44,3325,129600
50,8978,129600
23,3130,129600
9,4417,129600
87,1850,129600
65,6912,129600
77,1079,129600
20,7513,129600
55,2543,129600
43,7959,129600
9,172,129600
7,1517,129600
32,5698,129600
92,5315,129600
55,2326,129600
30,8480,129600
49,6495,129600
6,8341,129600
62,7030,129600
30,5762,129600
49,1367,129600
72,7278,129600
20,8270,129600
37,4770,129600
87,3138,129600
30,6543,129600
69,73,129600
54,629,129600
47,4106,129600
76,7670,129600
2,5218,129600
13,8405,129600
22,6313,129600
50,1538,129600
46,1280,129600
60,3996,129600
15,509,129600
10,1782,129600
5,5819,129600
35,6856,129600
30,2940,129600
52,3698,129600
33,1224,129600
24,3104,129600
40,8759,129600
0,7677,129600
85,8344,129600
98,2054,129600
15,3516,129600
81,555,129600
19,8057,129600
90,2447,129600
60,4146,129600
50,4250,129600
59,3083,129600
5,6348,129600
81,1310,129600
8,3899,129600
90,7978,129600
92,1500,129600
0,804,129600
86,3982,129600
81,8346,129600
92,1421,129600
35,9495,129600
98,1464,129600
91,3565,129600
93,1267,129600
88,9000,129600
99,3547,129600
96,7961,129600
37,2394,129600
81,3990,129600
45,2481,129600
43,2356,129600
83,5242,129600
18,6911,129600
51,5765,129600
96,9133,129600
93,1696,129600
84,8732,129600
9,115,129600
93,7265,129600
17,20,129600
38,9709,129600
83,7859,129600
32,7590,129600
89,5857,129600
26,7148,129600
9,1024,129600
49,5646,129600
38,2264,129600
56,8857,129600
37,1576,129600
36,2419,129600
19,8926,129600
87,5091,129600
95,7344,129600
42,1016,129600
5,299,129600
78,2385,129600
55,3245,129600
16,7557,129600
93,9386,129600
63,9426,129600
96,9430,129600
88,2416,129600
96,9347,129600
14,1077,129600
12,39,129600
64,2308,129600
42,2939,129600
31,5985,129600
44,2897,129600
18,7135,129600
95,7422,129600
93,7734,129600
54,3334,129600
80,1221,129600
41,2585,129600
36,3347,129600
38,5519,129600
45,2138,129600
36,974,129600
68,3649,129600
22,2201,129600
62,2893,129600
15,6727,129600
21,1290,129600
40,8042,129600
0,1962,129600
60,2037,129600
20,4627,129600
94,3558,129600
70,220,129600
92,2759,129600
98,3144,129600
75,3085,129600
13,7389,129600
94,6319,129600
44,5737,129600
75,263,129600
84,1101,129600
28,7932,129600
55,2444,129600
28,6668,129600
0,264,129600
86,7684,129600
70,7998,129600
33,8205,129600
37,6219,129600
26,8608,129600
59,4831,129600
19,9442,129600
19,9590,129600
30,9105,129600
38,1960,129600
87,789,129600
43,6261,129600
40,887,129600
8,902,129600
66,5999,129600
57,8433,129600
30,1424,129600
37,9692,129600
55,8443,129600
52,7242,129600
44,7023,129600
87,5555,129600
26,515,129600
71,5094,129600
61,2381,129600
56,2502,129600
91,3414,129600
8,460,129600
85,1694,129600
85,6520,129600
48,6020,129600
26,7620,129600
98,2151,129600
49,5968,129600
92,8801,129600
1,2387,129600
3,1664,129600
93,2523,129600
13,2302,129600
40,642,129600
51,5707,129600
51,2067,129600
78,2497,129600
63,614,129600
91,2592,129600
16,4316,129600
73,4616,129600
37,5048,129600
71,9617,129600
71,1897,129600
83,2885,129600
16,7637,129600
80,2831,129600
77,5271,129600
34,9279,129600
18,8206,129600
49,2459,129600
59,2652,129600
43,4794,129600
68,5211,129600
85,8337,129600
25,6126,129600
96,9402,129600
23,9394,129600
9,4378,129600
87,890,129600
39,9006,129600
57,2960,129600
41,2267,129600
64,7275,129600
72,5482,129600
95,5502,129600
69,6750,129600
21,480,129600
91,8234,129600
2,5878,129600
78,1866,129600
92,9884,129600
41,4679,129600
64,847,129600
46,3863,129600
61,7045,129600
80,9012,129600
26,4983,129600
47,2095,129600
27,3704,129600
33,9136,129600
93,8147,129600
63,9231,129600
94,9548,129600
14,6365,129600
32,470,129600
41,5184,129600
74,7769,129600
78,6244,129600
53,9369,129600
99,3372,129600
98,3745,129600
66,3712,129600
26,8314,129600
47,5758,129600
73,1031,129600
19,2251,129600
1,845,129600
63,3798,129600
50,4309,129600
25,3150,129600
4,8989,129600
94,9688,129600
78,7837,129600
17,5173,129600
64,8742,129600
94,3075,129600
25,5683,129600
88,796,129600
72,7545,129600
67,382,129600
53,2850,129600
13,3373,129600
48,6405,129600
18,5439,129600
61,6275,129600
12,5744,129600
98,6077,129600
77,4534,129600
40,8307,129600
91,2808,129600
52,9557,129600
21,9026,129600
56,2753,129600
90,8362,129600
98,3705,129600
83,6779,129600
6,3251,129600
21,1525,129600
44,9411,129600
61,3716,129600
18,6427,129600
20,4242,129600
72,2058,129600
88,8267,129600
0,1644,129600
12,4987,129600
72,5956,129600
39,4846,129600
50,9782,129600
58,1413,129600
87,1633,129600
9,7888,129600
84,9020,129600
28,9070,129600
46,3226,129600
36,8985,129600
70,3778,129600
91,3758,129600
86,1444,129600
60,2417,129600
45,9114,129600
66,7523,129600
81,6562,129600
83,8913,129600
16,9987,129600
21,9822,129600
67,6359,129600
74,9223,129600
17,8556,129600
44,9154,129600
10,5081,129600
90,2526,129600
73,9785,129600
75,674,129600
99,610,129600
11,3966,129600
24,3185,129600
35,8187,129600
66,5700,129600
12,5533,129600
11,6959,129600
98,9432,129600
64,7706,129600
6,625,129600
60,1407,129600
92,8410,129600
90,5625,129600
5,6675,129600
55,2134,129600
58,4532,129600
24,1385,129600
47,6242,129600
93,8086,129600
86,6845,129600
14,9084,129600
82,667,129600
11,1084,129600
99,157,129600
92,5713,129600
5,2135,129600
77,2105,129600
64,6294,129600
44,6269,129600
7,8795,129600
10,9578,129600
25,3380,129600
18,2373,129600
25,2848,129600
18,5917,129600
57,6149,129600
90,8450,129600
66,884,129600
38,7097,129600
76,6848,129600
26,1905,129600
68,2948,129600
57,4746,129600
42,9383,129600
87,2702,129600
51,5532,129600
16,2076,129600
22,9622,129600
41,9691,129600
17,7842,129600
23,2275,129600
91,2549,129600
65,8359,129600
44,2828,129600
38,9631,129600
15,4645,129600
75,6527,129600
19,7292,129600
5,6008,129600
41,2736,129600
34,4035,129600
27,3235,129600
93,6182,129600
93,4760,129600
17,142,129600
14,6600,129600
25,2580,129600
97,4414,129600
8,5618,129600
50,7459,129600
58,9486,129600
59,8881,129600
36,7912,129600
32,7256,129600
75,8269,129600
2,1722,129600
67,6594,129600
25,3318,129600
22,3781,129600
7,2790,129600
64,978,129600
24,3107,129600
54,2778,129600
43,4365,129600
74,6571,129600
46,9355,129600
68,2891,129600
50,7498,129600
3,6403,129600
33,8273,129600
85,4198,129600
14,8505,129600
98,8617,129600
67,7469,129600
59,2158,129600
55,7175,129600
44,3509,129600
88,5052,129600
37,1714,129600
74,2764,129600
38,3084,129600
66,1055,129600
17,782,129600
4,806,129600
57,1785,129600
92,7506,129600
22,4446,129600
81,9024,129600
0,4458,129600
43,2949,129600
6,2208,129600
95,1414,129600
29,8730,129600
21,8191,129600
42,6166,129600
7,1886,129600
78,2467,129600
42,6633,129600
15,7965,129600
62,601,129600
77,1248,129600
43,9021,129600
45,9055,129600
2,3977,129600
93,2410,129600
76,2230,129600
66,9342,129600
75,2309,129600
3,2902,129600
25,4166,129600
97,7556,129600
43,9540,129600
81,1859,129600
81,1211,129600
54,3473,129600
72,5268,129600
71,56,129600
85,7816,129600
96,6876,129600
6,5613,129600
54,340,129600
94,3796,129600
42,8360,129600
13,7724,129600
99,2402,129600
29,8933,129600
4,5150,129600
23,8823,129600
25,3436,129600
42,9634,129600
20,861,129600
40,6826,129600
49,7003,129600
87,7551,129600
87,4247,129600
60,8364,129600
93,2983,129600
26,1790,129600
90,3775,129600
97,9104,129600
78,7497,129600
49,4651,129600
45,5406,129600
34,1610,129600
15,1693,129600
39,6770,129600
86,8120,129600
90,2106,129600
54,2872,129600
95,8368,129600
91,6050,129600
5,7541,129600
65,7884,129600
50,6901,129600
14,2825,129600
42,5750,129600
71,9744,129600
98,6875,129600
47,7112,129600
7,9542,129600
80,204,129600
7,3065,129600
74,9930,129600
9,736,129600
56,4623,129600
37,2310,129600
79,5024,129600
5,5129,129600
64,9586,129600
50,7392,129600
32,6578,129600
80,2545,129600
4,9563,129600
40,8084,129600
88,9074,129600
85,5694,129600
55,6523,129600
74,7236,129600
65,7894,129600
14,6828,129600
80,9783,129600
57,8467,129600
85,7009,129600
21,309,129600
26,6510,129600
46,7133,129600
59,9390,129600
92,46,129600
51,6710,129600
58,5776,129600
21,8774,129600
25,606,129600
81,6460,129600
89,6977,129600
96,4672,129600
24,9172,129600
48,7505,129600
43,6507,129600
8,7080,129600
58,2019,129600
30,6917,129600
72,7871,129600
65,8840,129600
59,5674,129600
68,3301,129600
96,468,129600
96,4709,129600
9,2818,129600
75,9449,129600
45,823,129600
91,3678,129600
83,3059,129600
65,1471,129600
7,3271,129600
53,2614,129600
86,5179,129600
74,367,129600
19,5952,129600
41,7304,129600
41,9434,129600
67,6982,129600
40,2864,129600
91,709,129600
17,4865,129600
35,6573,129600
88,6585,129600
15,7467,129600
95,6990,129600
24,1818,129600
47,3529,129600
62,9786,129600
44,225,129600
46,6915,129600
11,2010,129600
69,9619,129600
6,2468,129600
65,9698,129600
51,9713,129600
79,9687,129600
16,8125,129600
30,7086,129600
68,1287,129600
32,7272,129600
77,4669,129600
22,3445,129600
36,3034,129600
55,8548,129600
29,581,129600
46,2239,129600
28,8459,129600
42,8401,129600
48,7313,129600
85,967,129600
55,9613,129600
12,8940,129600
85,2695,129600
50,1036,129600
30,9780,129600
43,2721,129600
78,9292,129600
90,8412,129600
16,7522,129600
58,358,129600
11,3997,129600
34,7958,129600
48,1922,129600
23,7201,129600
32,6425,129600
17,8001,129600
41,5190,129600
96,6069,129600
63,8689,129600
33,6752,129600
60,7361,129600
4,5732,129600
83,5431,129600
81,6922,129600
18,9397,129600
87,5346,129600
22,1616,129600
12,313,129600
59,7831,129600
46,768,129600
98,4988,129600
0,9406,129600
16,2303,129600
13,835,129600
36,9176,129600
72,8817,129600
15,3437,129600
85,8554,129600
39,4900,129600
3,2591,129600
81,1239,129600
25,6286,129600
65,6012,129600
30,7110,129600
70,5224,129600
47,814,129600
21,8507,129600
19,6187,129600
45,8421,129600
25,5957,129600
15,8846,129600
92,6538,129600
19,9900,129600
71,656,129600
12,4268,129600
61,8991,129600
48,1657,129600
67,8618,129600
40,6916,129600
24,8469,129600
77,9463,129600
67,7128,129600
29,8976,129600
63,3188,129600
0,6431,129600
71,5111,129600
87,873,129600
43,9129,129600
7,4137,129600
64,4798,129600
94,4808,129600
48,6609,129600
19,6454,129600
44,7255,129600
72,2723,129600
