create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.scale,parameters.split,parameters.strand,parameters.zero_regions,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-06-30 13:52:17.374132,slurm_normal,,main_w1_handler1,2358934,9767187,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",770230199,bed,4069954.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20177017,,"""""","""False""","""""","""False""",,23886976,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-07-02 01:52:56.132429,,129638.75829700001
2015-07-29 02:12:31.283656,slurm_normal,,main_w2_handler1,1543741,10022252,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",560828915,bed,4304032.roundup,slurm,,corral-repl,,"""4383b70a359711e59f98005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11701677,,"""""","""False""","""""","""True""",,24348589,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-07-30 14:13:27.857025,37538.0,129656.573369
2015-07-29 02:12:09.607599,slurm_normal,,main_w1_handler0,1543741,10022249,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",20891634361,bed,4304029.roundup,slurm,,corral-repl,,"""3777468e359711e59386005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11639657,,"""""","""False""","""""","""True""",,24348589,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-07-30 14:12:38.087129,37538.0,129628.47953000001
2015-07-29 02:12:54.543638,slurm_normal,,main_w1_handler2,1543741,10022257,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",732691372,bed,4314307.roundup,slurm,,corral-repl,,"""521ccb58359711e58907005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11701666,,"""""","""False""","""""","""True""",,24348589,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-08-01 02:12:34.660598,37538.0,259180.11696
2015-07-29 02:12:44.417969,slurm_normal,,main_w1_handler1,1543741,10022255,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",646572475,bed,4314308.roundup,slurm,,corral-repl,,"""4bc24530359711e58809005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11701668,,"""""","""False""","""""","""True""",,24348589,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-08-01 02:12:34.666566,37538.0,259190.24859700003
2015-07-28 03:23:59.114452,slurm_normal,,main_w2_handler0,1543741,10013657,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",20891634361,bed,4304026.roundup,slurm,,corral-repl,,"""1573b73034d811e5aa21005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11639657,,"""""","""False""","""""","""True""",,24348589,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-07-30 14:11:59.016852,37538.0,211679.90240000002
2015-07-31 13:24:42.618984,slurm_normal,,main_w2_handler1,1543741,10041179,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",560828915,bed,4325726.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11701677,,"""""","""False""","""""","""True""",,24348589,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-08-02 14:13:09.622888,37538.0,175707.003904
2015-07-31 13:24:10.832941,slurm_normal,,main_w1_handler0,1543741,10041176,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",20891634361,bed,4321620.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11639657,,"""""","""False""","""""","""True""",,24348589,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-08-02 01:25:06.692200,37538.0,129655.859259
2015-08-08 01:22:36.577073,slurm_normal,,main_w1_handler2,2402929,10082168,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5630225454,bam,4359120.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20718446,,"""""","""False""","""""","""True""",,24557186,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-08-09 13:23:23.457029,67495.0,129646.879956
2015-08-10 01:30:11.468764,slurm_normal,,main_w2_handler1,1543741,10088780,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",20891634361,bed,4370609.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11639657,,"""""","""False""","""""","""True""",,24348589,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-08-13 09:23:36.388514,37538.0,287604.91975
2015-08-13 07:01:52.931363,slurm_normal,,main_w2_handler1,1543741,10107649,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",590406405,bed,4381573.roundup,slurm,,corral-repl,,"""2aecec36418911e59049005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11639641,,"""""","""False""","""""","""True""",,24348589,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-08-14 19:02:37.205704,37538.0,129644.27434100001
2015-08-13 06:59:59.236634,slurm_normal,,main_w1_handler0,1543741,10107644,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",667198402,bed,4381569.roundup,slurm,,corral-repl,,"""e8df1d8c418811e58d3f005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11639640,,"""""","""False""","""""","""True""",,24348589,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-08-14 19:01:10.735600,37538.0,129671.49896600001
2015-08-13 07:08:05.514076,slurm_normal,,main_w2_handler0,1543741,10107676,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",20891634361,bed,4381984.roundup,slurm,,corral-repl,,"""0ab5afa6418a11e58c0b005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11639657,,"""""","""False""","""""","""True""",,24348589,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-08-14 21:24:09.000746,37538.0,137763.48667
2015-09-18 11:10:31.975161,slurm_normal,,main_w1_handler1,2295829,10352347,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1191399178,bed,4635149.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21161454,,"""""","""False""","""""","""True""",,24388345,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-09-19 23:24:51.854578,16545.0,130459.879417
2015-08-28 01:37:38.845838,slurm_normal,,main_w1_handler2,2406114,10214064,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",920553356,bed,4484387.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20889209,,"""""","""False""","""""","""False""",,24825789,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-08-29 13:38:09.407235,39728.0,129630.56139700001
2015-08-28 01:37:14.196862,slurm_normal,,main_w1_handler2,2406114,10214063,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",920553356,bed,4484386.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20889209,,"""""","""False""","""""","""True""",,24825789,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-08-29 13:38:08.945357,39728.0,129654.748495
2015-09-09 17:53:12.268765,slurm_normal,,main_w1_handler0,2431936,10288674,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2717289018,bam,4574060.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",21059523,,"""""","""False""","""""","""True""",,25071507,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-09-11 05:54:35.584706,68801.0,129683.31594100001
2015-09-13 14:44:28.348536,slurm_normal,,main_w1_handler0,2436419,10310453,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",85093146,bed,4595095.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21096637,,"""""","""False""","""""","""True""",,25155181,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-09-15 02:45:17.671494,69126.0,129649.322958
2016-01-20 10:22:55.566364,slurm_normal,,main_w1_handler0,2542940,11557390,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",18025300421,bam,5823883.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",22950921,,"""""","""False""","""""","""True""",,27520452,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2016-01-21 22:24:19.704400,70655.0,129684.138036
2016-06-16 08:53:39.129542,slurm_normal,,main_w1_handler1,2740644,13180871,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1779820273,bed,7365414.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53fa07eb320e2cf97'}]","""""","""true""","""""","""false""",,30898864,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2016-06-17 20:56:33.354122,21292.0,129774.22458000001
2015-03-09 04:01:15.185109,rodeo_normal,,main_w2_handler1,2105727,8893596,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1481828967,bed,3064659.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18744849,,"""""","""False""","""""","""True""",,21656008,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-03-10 16:01:52.644691,55361.0,129637.45958200001
2014-02-07 14:49:00.379853,slurm_single,,main_w1_handler0,1797336,6479880,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",784992866,bam,510526,slurm,,corral-repl,,,"""/galaxy/data/chrom/hg19.len""","""hg19""",14426588,,"""""","""False""","""""","""True""",,12949339,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2014-02-09 14:59:24.952151,44159.0,173424.572298
2014-02-07 15:34:45.060668,slurm_single,,main_w2_handler1,1797736,6480434,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",348941137,bed,511071,slurm,,corral-repl,,,"""/galaxy/data/chrom/hg19.len""","""hg19""",14427772,,"""""","""False""","""""","""True""",,13218984,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2014-02-09 15:44:53.548424,15984.0,173408.48775600002
2014-02-11 11:19:42.466247,slurm_single,,main_w1_handler0,1801760,6498411,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",318824395,bed,529387,slurm,,corral-repl,,,"""/galaxy/data/chrom/danRer7.len""","""danRer7""",14515069,,"""""","""False""","""""","""False""",,13278564,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2014-02-13 11:34:57.854651,,173715.388404
2014-02-14 17:20:19.235929,slurm_single,,main_w2_handler1,1803330,6520487,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1572264053,bed,550472,slurm,,corral-repl,,,"""/galaxy/data/chrom/mm9.len""","""mm9""",14597346,,"""""","""False""","""""","""True""",,13302289,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2014-02-16 17:30:40.301968,39469.0,173421.066039
2014-02-14 15:21:47.024745,slurm_single,,main_w2_handler1,1768710,6519576,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",317989447,bed,549534,slurm,,corral-repl,,,"""/galaxy/data/chrom/hg18.len""","""hg18""",14593600,,"""""","""False""","""""","""True""",,13340850,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2014-02-16 15:32:08.650210,23501.0,173421.62546500002
2014-02-20 09:36:00.557380,slurm_single,,main_w1_handler1,1768710,6556424,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",317989447,bed,586751,slurm,,corral-repl,,,"""/galaxy/data/chrom/hg18.len""","""hg18""",14593600,,"""""","""False""","""""","""False""",,13342099,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2014-02-22 09:46:46.976678,23501.0,173446.41929800002
2015-03-09 04:01:40.773266,rodeo_normal,,main_w1_handler1,2105727,8893601,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3590450333,bed,3064669.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18744852,,"""""","""False""","""""","""True""",,21656008,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-03-10 16:01:52.729669,55361.0,129611.956403
2015-01-22 18:02:39.217935,rodeo_normal,,main_w2_handler0,2179625,8588528,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",908488813,bed,2536775.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18269893,,"""""","""False""","""""","""False""",,20580821,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-01-24 06:03:28.291646,,129649.073711
2015-01-22 18:02:48.406631,rodeo_normal,,main_w2_handler1,2179625,8588530,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",992070217,bed,2551426.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18270152,,"""""","""False""","""""","""False""",,20580821,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-01-25 18:04:03.933386,,259275.52675500003
2014-12-22 09:40:55.414127,rodeo_normal,,main_w2_handler0,2086201,8455009,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",236521159,bed,619411.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm8.len""","""mm8""",18042909,,"""""","""False""","""""","""True""",,18028518,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2014-12-23 21:41:19.168527,32656.0,129623.7544
2014-12-24 11:18:48.572408,rodeo_normal,,main_w1_handler1,2086201,8463785,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",236521159,bed,633402.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm8.len""","""mm8""",18042909,,"""""","""False""","""""","""True""",,18028518,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2014-12-25 23:19:20.623839,32656.0,129632.05143100001
2015-02-19 09:56:57.533390,rodeo_normal,,main_w2_handler1,2210912,8764743,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1388229996,bed,2855510.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",18558174,,"""""","""False""","""""","""True""",,21318519,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-02-22 09:57:28.368080,,259230.83469000002
2015-02-19 09:56:32.925186,rodeo_normal,,main_w1_handler1,2210912,8764740,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1387880324,bed,2828260.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",18559132,,"""""","""False""","""""","""True""",,21318519,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-02-20 21:57:01.169398,,129628.244212
2015-02-19 09:56:50.011359,rodeo_normal,,main_w1_handler1,2210912,8764741,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1388078865,bed,2855508.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",18558798,,"""""","""False""","""""","""True""",,21318519,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-02-22 09:57:28.543272,,259238.531913
2015-03-04 14:42:17.934615,rodeo_normal,,main_w1_handler1,2214951,8863002,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1933490557,bed,3010094.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18728815,,"""""","""False""","""""","""True""",,21582112,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-03-06 02:42:35.375338,60483.0,129617.440723
2015-03-05 22:13:04.746208,rodeo_normal,,main_w1_handler0,2105727,8874887,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2594278480,bed,3031946.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18744850,,"""""","""False""","""""","""True""",,21022339,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-03-07 10:13:35.467152,55361.0,129630.72094400002
2015-03-05 22:13:05.494984,rodeo_normal,,main_w1_handler0,2105727,8874888,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3127942089,bed,3031950.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18744851,,"""""","""False""","""""","""True""",,21022339,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-03-07 10:13:35.290142,55361.0,129629.79515800001
2015-03-05 22:13:06.202413,rodeo_normal,,main_w1_handler1,2105727,8874889,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3590450333,bed,3031948.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18744852,,"""""","""False""","""""","""True""",,21022339,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-03-07 10:13:34.974129,55361.0,129628.771716
